iso_code,country,2022_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
UZB,Uzbekistan,"34,726,211","33,526,656","447,400 sq_km",77/sq_km,1.60%,0.43%,43
PER,Peru,"34,099,064","33,304,756","1,285,216 sq_km",26/sq_km,0.99%,0.43%,44
MYS,Malaysia,"34,005,260","33,199,993","330,803 sq_km",103/sq_km,1.09%,0.43%,45
YEM,Yemen,"33,830,954","32,284,046","527,968 sq_km",64/sq_km,2.17%,0.42%,46
GHA,Ghana,"33,591,205","32,180,401","238,533 sq_km",140/sq_km,1.96%,0.42%,47
MOZ,Mozambique,"33,131,381","31,178,239","801,590 sq_km",41/sq_km,2.78%,0.41%,48
NPL,Nepal,"30,610,556","29,348,627","147,181 sq_km",208/sq_km,1.71%,0.38%,49
MDG,Madagascar,"29,737,928","28,225,177","587,041 sq_km",50/sq_km,2.41%,0.37%,50
VEN,Venezuela,"28,392,850","28,490,453","916,445 sq_km",31/sq_km,0.36%,0.35%,51
CIV,Ivory Coast,"28,286,100","26,811,790","322,463 sq_km",87/sq_km,2.48%,0.35%,52
CMR,Cameroon,"28,044,551","26,491,087","475,442 sq_km",59/sq_km,2.63%,0.35%,53
NER,Niger,"26,383,143","24,333,639","1,267,000 sq_km",21/sq_km,3.78%,0.33%,54
AUS,Australia,"26,224,465","25,670,051","7,692,024 sq_km",3/sq_km,0.99%,0.33%,55
PRK,North Korea,"26,086,389","25,867,467","120,538 sq_km",216/sq_km,0.38%,0.33%,56
TWN,Taiwan,"23,899,030","23,821,464","36,193 sq_km",660/sq_km,0.14%,0.30%,57
BFA,Burkina Faso,"22,776,319","21,522,626","272,967 sq_km",83/sq_km,2.59%,0.28%,58
MLI,Mali,"22,717,379","21,224,040","1,240,192 sq_km",18/sq_km,3.14%,0.28%,59
SYR,Syria,"22,317,387","20,772,595","185,180 sq_km",119/sq_km,3.76%,0.28%,60
LKA,Sri Lanka,"21,843,742","21,715,079","65,610 sq_km",333/sq_km,0.27%,0.27%,61
MWI,Malawi,"20,498,372","19,377,061","118,484 sq_km",172/sq_km,2.59%,0.26%,62
ZMB,Zambia,"20,115,251","18,927,715","752,612 sq_km",27/sq_km,2.80%,0.25%,63
ROU,Romania,"19,801,536","19,442,038","238,391 sq_km",82/sq_km,1.71%,0.25%,64
CHL,Chile,"19,607,796","19,300,315","756,102 sq_km",26/sq_km,0.57%,0.25%,65
KAZ,Kazakhstan,"19,434,761","18,979,243","2,724,900 sq_km",7/sq_km,1.05%,0.24%,66
ECU,Ecuador,"18,035,339","17,588,595","276,841 sq_km",65/sq_km,1.14%,0.23%,67
GTM,Guatemala,"17,887,355","17,362,718","108,889 sq_km",164/sq_km,1.34%,0.22%,68
TCD,Chad,"17,821,678","16,644,701","1,284,000 sq_km",14/sq_km,3.16%,0.22%,69
SOM,Somalia,"17,693,515","16,537,016","637,657 sq_km",28/sq_km,3.12%,0.22%,70
NLD,Netherlands,"17,573,909","17,434,557","41,850 sq_km",420/sq_km,0.36%,0.22%,71
SEN,Senegal,"17,395,283","16,436,120","196,722 sq_km",88/sq_km,2.61%,0.22%,72
KHM,Cambodia,"16,799,166","16,396,860","181,035 sq_km",93/sq_km,1.08%,0.21%,73
ZWE,Zimbabwe,"16,380,695","15,669,666","390,757 sq_km",42/sq_km,2.04%,0.20%,74
GIN,Guinea,"13,918,254","13,205,153","245,857 sq_km",56/sq_km,2.42%,0.17%,75
RWA,Rwanda,"13,833,448","13,146,362","26,338 sq_km",523/sq_km,2.34%,0.17%,76
BEN,Benin,"13,416,888","12,643,123","112,622 sq_km",119/sq_km,2.74%,0.17%,77
BDI,Burundi,"12,951,896","12,220,227","27,834 sq_km",463/sq_km,2.70%,0.16%,78
TUN,Tunisia,"12,373,155","12,161,723","163,610 sq_km",76/sq_km,0.76%,0.15%,79
BOL,Bolivia,"12,251,109","11,936,162","1,098,581 sq_km",11/sq_km,1.20%,0.15%,80
BEL,Belgium,"11,661,369","11,561,717","30,528 sq_km",382/sq_km,0.38%,0.15%,81
HTI,Haiti,"11,609,767","11,306,801","27,750 sq_km",417/sq_km,1.20%,0.15%,82
JOR,Jordan,"11,296,485","10,928,721","89,342 sq_km",126/sq_km,1.23%,0.14%,83
DOM,Dominican Republic,"11,247,825","10,999,664","48,671 sq_km",231/sq_km,1.00%,0.14%,84
CUB,Cuba,"11,209,242","11,300,698","109,884 sq_km",102/sq_km,-0.39%,0.14%,85
SSD,South Sudan,"10,943,112","10,606,227","619,745 sq_km",18/sq_km,1.53%,0.14%,86
SWE,Sweden,"10,560,749","10,368,969","450,295 sq_km",23/sq_km,0.79%,0.13%,87
CZE,Czech Republic,"10,492,675","10,530,953","78,865 sq_km",133/sq_km,-0.16%,0.13%,88
HND,Honduras,"10,460,842","10,121,763","112,492 sq_km",93/sq_km,1.50%,0.13%,89
GRC,Greece,"10,376,124","10,512,232","131,990 sq_km",79/sq_km,-0.58%,0.13%,90
AZE,Azerbaijan,"10,368,297","10,284,951","86,600 sq_km",120/sq_km,0.44%,0.13%,91
PRT,Portugal,"10,266,737","10,298,192","92,090 sq_km",112/sq_km,-0.19%,0.13%,92
PNG,Papua New Guinea,"10,176,433","9,749,640","462,840 sq_km",22/sq_km,1.94%,0.13%,93
HUN,Hungary,"10,067,375","9,750,573","93,028 sq_km",107/sq_km,2.65%,0.12%,94
TJK,Tajikistan,"9,987,322","9,543,207","143,100 sq_km",70/sq_km,2.08%,0.12%,95
BLR,Belarus,"9,529,580","9,633,740","207,600 sq_km",46/sq_km,-0.45%,0.12%,96
ARE,United Arab Emirates,"9,454,760","9,287,289","83,600 sq_km",113/sq_km,0.81%,0.12%,97
ISR,Israel,"9,062,490","8,757,489","20,770 sq_km",435/sq_km,1.55%,0.11%,98
AUT,Austria,"8,943,156","8,907,777","83,871 sq_km",107/sq_km,0.20%,0.11%,99
TGO,Togo,"8,885,331","8,442,580","56,785 sq_km",156/sq_km,2.36%,0.11%,100
CHE,Switzerland,"8,750,760","8,638,613","41,284 sq_km",212/sq_km,0.56%,0.11%,101
SLE,Sierra Leone,"8,638,811","8,233,970","71,740 sq_km",120/sq_km,2.20%,0.11%,102
LAO,Laos,"7,548,348","7,319,399","236,800 sq_km",32/sq_km,1.41%,0.09%,103
HKG,Hong Kong,"7,488,799","7,500,958","1,104 sq_km","6,783/sq_km",-0.08%,0.09%,104
SRB,Serbia,"7,206,948","7,358,005","88,361 sq_km",82/sq_km,-1.03%,0.09%,105
NIC,Nicaragua,"6,966,086","6,755,895","130,373 sq_km",53/sq_km,1.43%,0.09%,106
LBY,Libya,"6,825,906","6,653,942","1,759,540 sq_km",4/sq_km,1.14%,0.09%,107
BGR,Bulgaria,"6,763,408","6,979,175","110,879 sq_km",61/sq_km,-1.51%,0.09%,108
PRY,Paraguay,"6,794,243","6,618,695","406,752 sq_km",17/sq_km,1.15%,0.09%,109
KGZ,Kyrgyzstan,"6,649,496","6,424,874","199,951 sq_km",33/sq_km,1.58%,0.08%,110
TKM,Turkmenistan,"6,446,367","6,250,438","488,100 sq_km",13/sq_km,1.40%,0.08%,111
SLV,El Salvador,"6,340,914","6,292,731","21,041 sq_km",301/sq_km,0.35%,0.08%,112
SGP,Singapore,"5,982,832","5,909,869",710 sq_km,"8,416/sq_km",0.58%,0.07%,113
DNK,Denmark,"5,887,438","5,825,641","43,094 sq_km",136/sq_km,0.48%,0.07%,115
SVK,Slovakia,"5,716,652","5,456,681","49,037 sq_km",115/sq_km,3.59%,0.07%,116
CAF,Central African Republic,"5,607,454","5,343,020","622,984 sq_km",9/sq_km,2.24%,0.07%,117
FIN,Finland,"5,541,597","5,529,468","338,424 sq_km",16/sq_km,0.09%,0.07%,118
LBN,Lebanon,"5,466,672","5,662,923","10,452 sq_km",525/sq_km,-1.84%,0.07%,119
NOR,Norway,"5,441,527","5,379,839","323,802 sq_km",17/sq_km,0.58%,0.07%,120
LBR,Liberia,"5,323,061","5,087,584","111,369 sq_km",48/sq_km,2.10%,0.07%,121
PSE,Palestine,"5,271,632","5,019,401","6,220 sq_km",844/sq_km,2.27%,0.07%,122
NZL,New Zealand,"5,193,086","5,061,133","270,467 sq_km",19/sq_km,1.08%,0.07%,123
CRI,Costa Rica,"5,185,809","5,123,105","51,100 sq_km",101/sq_km,0.52%,0.06%,124
IRL,Ireland,"5,029,269","4,946,119","70,273 sq_km",71/sq_km,0.73%,0.06%,125
MRT,Mauritania,"4,758,551","4,498,604","1,030,700 sq_km",5/sq_km,2.63%,0.06%,126
OMN,Oman,"4,588,159","4,543,399","309,500 sq_km",15/sq_km,1.23%,0.06%,127
PAN,Panama,"4,419,132","4,294,396","75,417 sq_km",58/sq_km,1.32%,0.06%,128
KWT,Kuwait,"4,276,540","4,360,444","17,818 sq_km",240/sq_km,0.44%,0.05%,129
HRV,Croatia,"4,026,492","4,096,869","56,594 sq_km",71/sq_km,-0.73%,0.05%,130
GEO,Georgia,"3,741,174","3,765,912","69,700 sq_km",54/sq_km,-0.36%,0.05%,131
ERI,Eritrea,"3,695,303","3,555,868","117,600 sq_km",31/sq_km,1.76%,0.05%,132
URY,Uruguay,"3,422,860","3,429,086","181,034 sq_km",19/sq_km,-0.10%,0.04%,133
MNG,Mongolia,"3,407,344","3,294,335","1,564,110 sq_km",2/sq_km,1.51%,0.04%,134
MDA,Moldova,"3,353,600","3,084,847","33,846 sq_km",97/sq_km,6.91%,0.04%,135
PRI,Puerto Rico,"3,253,587","3,271,564","8,870 sq_km",367/sq_km,-0.11%,0.04%,136
ALB,Albania,"2,840,355","2,866,849","28,748 sq_km",99/sq_km,-0.43%,0.04%,138
JAM,Jamaica,"2,826,787","2,820,436","10,991 sq_km",257/sq_km,-0.01%,0.04%,139
ARM,Armenia,"2,779,420","2,805,608","29,743 sq_km",93/sq_km,-0.38%,0.03%,140
LTU,Lithuania,"2,743,371","2,820,267","65,300 sq_km",42/sq_km,-1.31%,0.03%,141
GMB,Gambia,"2,717,853","2,573,995","10,689 sq_km",253/sq_km,2.50%,0.03%,142
QAT,Qatar,"2,698,988","2,760,385","11,586 sq_km",233/sq_km,0.26%,0.03%,143
BWA,Botswana,"2,638,422","2,546,402","582,000 sq_km",5/sq_km,1.62%,0.03%,144
NAM,Namibia,"2,573,369","2,489,098","825,615 sq_km",3/sq_km,1.46%,0.03%,145
GAB,Gabon,"2,397,511","2,292,573","267,668 sq_km",9/sq_km,2.04%,0.03%,146
LSO,Lesotho,"2,309,953","2,254,100","30,355 sq_km",76/sq_km,1.07%,0.03%,147
SVN,Slovenia,"2,119,844","2,117,641","20,273 sq_km",105/sq_km,0.02%,0.03%,148
GNB,Guinea Bissau,"2,113,626","2,015,828","36,125 sq_km",58/sq_km,2.18%,0.03%,149
MKD,North Macedonia,"2,091,830","2,111,072","25,713 sq_km",81/sq_km,-0.46%,0.03%,150
LVA,Latvia,"1,846,916","1,897,052","64,559 sq_km",29/sq_km,-1.24%,0.02%,151
GNQ,Equatorial Guinea,"1,681,985","1,596,049","28,051 sq_km",60/sq_km,2.47%,0.02%,152
BHR,Bahrain,"1,474,592","1,477,469",765 sq_km,"1,924/sq_km",0.61%,0.02%,154
TLS,Timor Leste,"1,344,769","1,299,995","14,874 sq_km",90/sq_km,1.54%,0.02%,155
EST,Estonia,"1,325,538","1,329,444","45,227 sq_km",29/sq_km,-0.20%,0.02%,156
MUS,Mauritius,"1,299,600","1,297,828","2,040 sq_km",637/sq_km,0.04%,0.02%,157
CYP,Cyprus,"1,253,061","1,237,537","9,251 sq_km",135/sq_km,0.59%,0.02%,158
DJI,Djibouti,"1,123,601","1,090,156","23,200 sq_km",48/sq_km,1.38%,0.01%,160
RU,Reunion,"975,428","957,822","2,511 sq_km",388/sq_km,0.82%,0.01%,161
FJI,Fiji,"930,946","920,422","18,272 sq_km",51/sq_km,0.56%,0.01%,162
COM,Comoros,"839,461","806,166","1,862 sq_km",449/sq_km,1.84%,0.01%,163
GUY,Guyana,"809,447","797,202","214,969 sq_km",4/sq_km,0.52%,0.01%,164
BTN,Bhutan,"783,307","772,506","38,394 sq_km",20/sq_km,0.64%,0.01%,165
SLB,Solomon Islands,"727,156","691,191","28,896 sq_km",25/sq_km,2.32%,0.01%,166
MAC,Macau,"696,806","676,283",30 sq_km,"23,172/sq_km",1.25%,0.01%,167
LUX,Luxembourg,"648,910","630,399","2,586 sq_km",250/sq_km,1.29%,0.01%,168
MNE,Montenegro,"626,951","629,048","13,812 sq_km",45/sq_km,-0.12%,0.01%,169
SUR,Suriname,"618,826","607,065","163,820 sq_km",4/sq_km,0.82%,0.01%,170
CPV,Cape Verde,"594,132","582,640","4,033 sq_km",147/sq_km,0.89%,0.01%,171
ESH,Western Sahara,"578,017","556,048","266,000 sq_km",2/sq_km,1.84%,0.01%,172
MLT,Malta,"533,548","515,358",316 sq_km,"1,688/sq_km",1.24%,0.01%,173
MDV,Maldives,"523,394","514,438",300 sq_km,"1,746/sq_km",0.45%,0.01%,174
BRN,Brunei,"449,657","441,725","5,765 sq_km",78/sq_km,0.81%,0.01%,175
BHS,Bahamas,"410,508","406,471","13,943 sq_km",29/sq_km,0.51%,0.01%,176
BLZ,Belize,"406,255","394,921","22,966 sq_km",18/sq_km,1.31%,0.01%,177
ISL,Iceland,"373,358","366,669","103,000 sq_km",4/sq_km,0.69%,0.00%,179
MTQ,Martinique,"367,441","370,391","1,128 sq_km",326/sq_km,-0.35%,0.00%,180
VUT,Vanuatu,"328,116","311,685","12,189 sq_km",27/sq_km,2.38%,0.00%,181
MYT,Mayotte,"327,805","305,587",374 sq_km,872/sq_km,3.19%,0.00%,182
PYF,French Polynesia,"306,803","301,920","4,167 sq_km",74/sq_km,0.74%,0.00%,183
NCL,New Caledonia,"290,474","286,403","18,575 sq_km",16/sq_km,0.75%,0.00%,185
BRB,Barbados,"281,701","280,693",430 sq_km,655/sq_km,0.15%,0.00%,186
WSM,Samoa,"222,972","214,929","2,842 sq_km",78/sq_km,1.65%,0.00%,188
CUW,Curacao,"191,294","189,288",444 sq_km,431/sq_km,0.43%,0.00%,189
LCA,Saint Lucia,"179,923","179,237",616 sq_km,292/sq_km,0.11%,0.00%,190
GUM,Guam,"172,036","169,231",549 sq_km,313/sq_km,0.73%,0.00%,191
KIR,Kiribati,"131,691","126,463",811 sq_km,162/sq_km,1.83%,0.00%,192
GRD,Grenada,"125,504","123,663",344 sq_km,365/sq_km,0.66%,0.00%,193
FSM,Micronesia,"114,295","112,106",702 sq_km,163/sq_km,0.91%,0.00%,194
SYC,Seychelles,"107,118","105,530",452 sq_km,237/sq_km,0.61%,0.00%,196
TON,Tonga,"107,055","105,254",747 sq_km,143/sq_km,0.79%,0.00%,197
ABW,Aruba,"106,379","106,585",180 sq_km,591/sq_km,-0.09%,0.00%,198
VIR,United States Virgin Islands,"99,334","100,442",347 sq_km,287/sq_km,-0.63%,0.00%,200
AND,Andorra,"79,955","77,700",468 sq_km,171/sq_km,1.00%,0.00%,203
DMA,Dominica,"72,803","71,995",751 sq_km,97/sq_km,0.45%,0.00%,204
CYM,Cayman Islands,"68,837","67,311",264 sq_km,260/sq_km,0.84%,0.00%,205
BMU,Bermuda,"64,118","64,031",54 sq_km,"1,189/sq_km",-0.00%,0.00%,206
GRL,Greenland,"56,532","56,026","2,166,086 sq_km",0/sq_km,0.40%,0.00%,208
FRO,Faroe Islands,"53,090","52,415","1,393 sq_km",38/sq_km,0.38%,0.00%,209
MNP,Northern Mariana Islands,"49,617","49,587",464 sq_km,107/sq_km,0.14%,0.00%,210
ASM,American Samoa,"44,207","46,189",199 sq_km,222/sq_km,-1.69%,0.00%,213
MAF,Sint Maarten,"44,175","43,621",34 sq_km,"1,299/sq_km",0.30%,0.00%,214
MHL,Marshall Islands,"41,635","43,413",181 sq_km,230/sq_km,-1.14%,0.00%,215
LIE,Liechtenstein,"39,327","38,756",160 sq_km,246/sq_km,0.74%,0.00%,216
MCO,Monaco,"36,469","36,922",2 sq_km,"18,235/sq_km",-0.59%,0.00%,217
SMR,San Marino,"33,660","34,007",61 sq_km,552/sq_km,-0.25%,0.00%,218
GIB,Gibraltar,"32,649","32,709",6 sq_km,"5,442/sq_km",-0.06%,0.00%,219
MAF,Saint Martin,"31,857","32,553",53 sq_km,600/sq_km,-0.49%,0.00%,220
PLW,Palau,"18,055","17,972",459 sq_km,39/sq_km,0.17%,0.00%,222
COK,Cook Islands,"17,077","17,029",236 sq_km,72/sq_km,0.05%,0.00%,223
AIA,Anguilla,"15,857","15,585",91 sq_km,174/sq_km,0.66%,0.00%,224
NRU,Nauru,"12,734","12,315",21 sq_km,603/sq_km,1.25%,0.00%,225
TUV,Tuvalu,"11,378","11,069",26 sq_km,435/sq_km,0.96%,0.00%,227
BL,Saint Barthelemy,"10,967","10,681",21 sq_km,522/sq_km,0.98%,0.00%,228
MSR,Montserrat,"4,390","4,500",102 sq_km,43/sq_km,-0.61%,0.00%,230
FLK,Falkland Islands,"3,780","3,747","12,173 sq_km",0/sq_km,0.43%,0.00%,231
NIU,Niue,"1,934","1,942",260 sq_km,7/sq_km,-0.15%,0.00%,232
TKL,Tokelau,"1,871","1,827",12 sq_km,156/sq_km,1.19%,0.00%,233
VAT,Vatican City,510,520,1 sq_km,510/sq_km,-0.20%,0.00%,234
